Fecha,Hora,Tipo,Brazo,Numero,Tiempo_Segundos
2026-04-28,14:09:08,BRAZO_ACTIVO,Alpha,,
2026-04-28,14:09:08,BRAZO_ACTIVO,Alpha,,
2026-04-28,14:09:09,BRAZO_ACTIVO,Omega,,
2026-04-28,14:09:11,BRAZO_ACTIVO,Beta,,
2026-04-28,14:09:37,BRAZO_INACTIVO,Beta,,24,30
2026-04-28,14:09:38,BRAZO_INACTIVO,Alpha,,26,94
2026-04-28,14:09:41,BRAZO_ACTIVO,Paletizador,,
2026-04-28,14:09:42,BRAZO_INACTIVO,Omega,,29,25
2026-04-28,14:09:44,DRON,,1,32,42
2026-04-28,14:09:44,BRAZO_ACTIVO,Alpha,,
2026-04-28,14:09:45,BRAZO_ACTIVO,Omega,,
2026-04-28,14:09:47,BRAZO_ACTIVO,Beta,,
2026-04-28,14:09:49,BRAZO_INACTIVO,Paletizador,,5,92
2026-04-28,14:09:49,CAJA,,1,
2026-04-28,14:10:12,BRAZO_INACTIVO,Beta,,22,27
2026-04-28,14:10:12,BRAZO_INACTIVO,Alpha,,25,13
2026-04-28,14:10:19,BRAZO_INACTIVO,Omega,,30,07
2026-04-28,14:10:19,BRAZO_ACTIVO,Paletizador,,
2026-04-28,14:10:20,DRON,,2,32,48
2026-04-28,14:10:20,BRAZO_ACTIVO,Alpha,,
2026-04-28,14:10:21,BRAZO_ACTIVO,Omega,,
2026-04-28,14:10:23,BRAZO_ACTIVO,Beta,,
2026-04-28,14:10:25,BRAZO_INACTIVO,Paletizador,,4,79
2026-04-28,14:10:25,CAJA,,2,
2026-04-28,14:10:48,BRAZO_INACTIVO,Alpha,,24,76
2026-04-28,14:10:48,BRAZO_INACTIVO,Beta,,22,83
2026-04-28,14:10:54,BRAZO_INACTIVO,Omega,,29,77
2026-04-28,14:10:54,BRAZO_ACTIVO,Paletizador,,
2026-04-28,14:10:55,DRON,,3,32,16
2026-04-28,14:10:56,BRAZO_ACTIVO,Alpha,,
2026-04-28,14:10:57,BRAZO_ACTIVO,Omega,,
2026-04-28,14:10:58,BRAZO_ACTIVO,Beta,,
2026-04-28,14:11:02,BRAZO_INACTIVO,Paletizador,,5,75
2026-04-28,14:11:02,CAJA,,3,
2026-04-28,14:11:23,BRAZO_INACTIVO,Alpha,,24,97
2026-04-28,14:11:23,BRAZO_INACTIVO,Beta,,22,85
2026-04-28,14:11:30,BRAZO_INACTIVO,Omega,,29,78
2026-04-28,14:11:30,BRAZO_ACTIVO,Paletizador,,
2026-04-28,14:11:31,DRON,,4,32,06
2026-04-28,14:11:31,BRAZO_ACTIVO,Alpha,,
2026-04-28,14:11:32,BRAZO_ACTIVO,Omega,,
2026-04-28,14:11:34,BRAZO_ACTIVO,Beta,,
2026-04-28,14:11:37,BRAZO_INACTIVO,Paletizador,,5,72
2026-04-28,14:11:37,CAJA,,4,
2026-04-28,14:11:59,BRAZO_INACTIVO,Beta,,22,60
2026-04-28,14:12:00,BRAZO_INACTIVO,Alpha,,25,40
2026-04-28,14:12:05,BRAZO_INACTIVO,Omega,,29,41
2026-04-28,14:12:05,BRAZO_ACTIVO,Paletizador,,
2026-04-28,14:12:06,DRON,,5,31,70
2026-04-28,14:12:06,BRAZO_ACTIVO,Alpha,,
2026-04-28,14:12:08,BRAZO_ACTIVO,Omega,,

RESUMEN
Drones ensamblados,5
Cajas paletizadas,4
Tiempo promedio dron (s),32,16
Tiempo minimo dron (s),31,70
Tiempo maximo dron (s),32,48

TIEMPO TOTAL POR BRAZO (segundos)
Beta,114,85
Alpha,127,20
Omega,148,28
Paletizador,22,18

TIEMPO PROMEDIO POR ACTIVACION (segundos)
Beta,22,97,(de 5 activaciones)
Alpha,25,44,(de 5 activaciones)
Omega,29,66,(de 5 activaciones)
Paletizador,5,55,(de 4 activaciones)
